address,zip_code,price,sell_date,sell_type,price_per_sq_m,no_rooms,housing_type,size_in_sq_m,year_of_construction,price_change_in_pct
"Kronborggade 8, 2. TH2200 København N",vn N,3.500.000,27-04-2017,Alm. Salg,50.000,3,Lejlighed,70,1899,-5 %,Aktuel værdi
"Hamletsgade 8, 3. 1192200 København N",vn N,1.935.000,26-04-2017,Alm. Salg,29.769,2,Lejlighed,65,1975,-3 %,Aktuel værdi
"Møllegade 34, 4. TV2200 København N",vn N,1.700.000,26-04-2017,Fam. Salg,21.518,3,Lejlighed,79,1901,,Aktuel værdi
"Hamletsgade 30, ST. TV2200 København N",vn N,2.100.000,25-04-2017,Alm. Salg,21.875,3,Lejlighed,96,1938,-8 %,Aktuel værdi
"Heimdalsgade 42, 2. 212200 København N",vn N,1.365.000,25-04-2017,Alm. Salg,27.300,1,Lejlighed,50,1975,-2 %,Aktuel værdi
"Peblinge Dossering 20, 1. TH2200 København N",vn N,1.657.500,25-04-2017,Fam. Salg,23.345,3,Lejlighed,71,1886,,Aktuel værdi
"Griffenfeldsgade 43, 32200 København N",vn N,3.710.000,23-04-2017,Alm. Salg,31.982,3,Lejlighed,116,1880,3 %,Aktuel værdi
"Lundtoftegade 84, 4. TH2200 København N",vn N,3.250.000,23-04-2017,Alm. Salg,37.790,3,Lejlighed,86,1907,-6 %,Aktuel værdi
"Peter Fabers Gade 36, 5. TV2200 København N",vn N,900.000,23-04-2017,Fam. Salg,21.428,2,Lejlighed,42,1883,,Aktuel værdi
"Heimdalsgade 42, 3. 302200 København N",vn N,605.000,21-04-2017,Andet,12.604,1,Lejlighed,48,1975,,Aktuel værdi
"Uffesgade 10, ST. TH2200 København N",vn N,1.875.000,21-04-2017,Alm. Salg,35.377,2,Lejlighed,53,1901,-3 %,Aktuel værdi
"Rådmandsgade 40C, 4. 1272200 København N",vn N,1.207.000,21-04-2017,Fam. Salg,17.242,3,Lejlighed,70,1967,,Aktuel værdi
"Egegade 2, 2. TH2200 København N",vn N,257.500,20-04-2017,Fam. Salg,3.301,3,Lejlighed,78,1884,,Aktuel værdi
"Rådmandsgade 40C, ST. 802200 København N",vn N,2.350.000,19-04-2017,Alm. Salg,31.756,3,Lejlighed,74,1967,,Aktuel værdi
"Heimdalsgade 37A, 2. TH2200 København N",vn N,1.325.000,18-04-2017,Fam. Salg,14.247,2,Lejlighed,93,1925,,Aktuel værdi
"Bregnerødgade 19, 3. TV2200 København N",vn N,2.995.000,17-04-2017,Alm. Salg,42.785,3,Lejlighed,70,1930,0 %,Aktuel værdi
"Farumgade 11, 4. TV2200 København N",vn N,1.200.000,16-04-2017,Fam. Salg,21.428,2,Lejlighed,56,1915,,Aktuel værdi
"Sorgenfrigade 9, 2. TV2200 København N",vn N,2.345.000,13-04-2017,Alm. Salg,37.222,2,Lejlighed,63,1932,0 %,Aktuel værdi
"Møllegade 34, 1. TV2200 København N",vn N,2.600.000,13-04-2017,Fam. Salg,32.911,3,Lejlighed,79,1901,,Aktuel værdi
"Hamletsgade 26, 1. TH2200 København N",vn N,1.700.000,12-04-2017,Alm. Salg,30.909,2,Lejlighed,55,1938,-11 %,Aktuel værdi
"Peblinge Dossering 44, 3. TV2200 København N",vn N,6.000.000,12-04-2017,Alm. Salg,50.000,5,Lejlighed,120,1862,-4 %,Aktuel værdi
"Ahornsgade 23, ST. TV2200 København N",vn N,2.498.000,09-04-2017,Alm. Salg,52.041,2,Lejlighed,48,1889,0 %,Aktuel værdi
"Fredensborggade 10, ST. TH2200 København N",vn N,1.850.000,08-04-2017,Alm. Salg,33.035,2,Lejlighed,56,1897,-7 %,Aktuel værdi
"Peter Fabers Gade 28, ST. TH2200 København N",vn N,3.800.000,07-04-2017,Alm. Salg,42.222,4,Lejlighed,90,1896,-5 %,Aktuel værdi
"Sorgenfrigade 4, 2. TH2200 København N",vn N,1.500.000,07-04-2017,Fam. Salg,24.193,2,Lejlighed,62,1933,,Aktuel værdi
"Ahornsgade 23, 4. TV2200 København N",vn N,2.650.000,06-04-2017,Alm. Salg,55.208,2,Lejlighed,48,1889,0 %,Aktuel værdi
"Heimdalsgade 42, 5. 592200 København N",vn N,1.495.000,05-04-2017,Alm. Salg,31.145,1,Lejlighed,48,1975,0 %,Aktuel værdi
"Dagmarsgade 34, 2. 212200 København N",vn N,1.150.000,05-04-2017,Alm. Salg,35.937,1,Lejlighed,32,1974,-4 %,Aktuel værdi
"Blågårdsgade 24, 4. TV2200 København N",vn N,1.997.500,04-04-2017,Andet,22.698,3,Lejlighed,88,1872,,Aktuel værdi
"Birkegade 15, 4. TH2200 København N",vn N,1.105.000,04-04-2017,Alm. Salg,21.250,2,Lejlighed,52,1892,,Aktuel værdi
"Schleppegrellsgade 7, 3. TH2200 København N",vn N,2.150.000,04-04-2017,Fam. Salg,23.888,4,Lejlighed,90,1892,,Aktuel værdi
"Tagensvej 57, 1. TV2200 København N",vn N,2.695.000,04-04-2017,Alm. Salg,38.500,3,Lejlighed,70,1933,-4 %,Aktuel værdi
"Julius Bloms Gade 25, 1. TV2200 København N",vn N,2.300.000,02-04-2017,Alm. Salg,38.983,2,Lejlighed,59,1934,-4 %,Aktuel værdi
"Peter Fabers Gade 41, 1. TH2200 København N",vn N,2.295.000,02-04-2017,Alm. Salg,45.900,2,Lejlighed,50,1895,0 %,Aktuel værdi
"Sandbjerggade 52, 4. TH2200 København N",vn N,1.850.000,31-03-2017,Alm. Salg,34.905,2,Lejlighed,53,1935,-2 %,Aktuel værdi
"Dagmarsgade 19, 2. 3122200 København N",vn N,1.104.000,31-03-2017,Fam. Salg,18.711,2,Lejlighed,59,1974,,Aktuel værdi
"Ahornsgade 23, ST. TH2200 København N",vn N,2.350.000,31-03-2017,Alm. Salg,47.959,2,Lejlighed,49,1889,0 %,Aktuel værdi
"Stefansgade 10, ST. TH2200 København N",vn N,1.795.000,31-03-2017,Alm. Salg,41.744,1,Lejlighed,43,1886,-5 %,Aktuel værdi
"Sigynsgade 60, 2. TV2200 København N",vn N,2.700.000,31-03-2017,Alm. Salg,31.764,3,Lejlighed,85,1991,0 %,Aktuel værdi
"Krogerupgade 49, ST. TH2200 København N",vn N,1.875.000,31-03-2017,Alm. Salg,35.377,2,Lejlighed,53,1935,,Aktuel værdi
"Hamletsgade 20, 3. TH2200 København N",vn N,1.700.000,30-03-2017,Fam. Salg,25.373,3,Lejlighed,67,1949,,Aktuel værdi
"Sortedam Dossering 43, 5. TV2200 København N",vn N,3.875.000,29-03-2017,Alm. Salg,48.437,3,Lejlighed,80,1963,-1 %,Aktuel værdi
"Hamletsgade 15, 2. TH2200 København N",vn N,1.100.000,29-03-2017,Alm. Salg,19.642,2,Lejlighed,56,1947,,Aktuel værdi
"Esromgade 30, 2. TH2200 København N",vn N,1.830.000,29-03-2017,Alm. Salg,34.528,2,Lejlighed,53,1904,-3 %,Aktuel værdi
"Schleppegrellsgade 10, 3. TH2200 København N",vn N,1.650.000,29-03-2017,Fam. Salg,19.411,4,Lejlighed,85,1892,,Aktuel værdi
"Heimdalsgade 42, 3. 332200 København N",vn N,1.345.000,28-03-2017,Alm. Salg,28.020,1,Lejlighed,48,1975,-4 %,Aktuel værdi
"Nordbanegade 22, ST. TV2200 København N",vn N,1.092.500,27-03-2017,Fam. Salg,21.421,2,Lejlighed,51,1898,,Aktuel værdi
"Slejpnersgade 6, 2. 12200 København N",vn N,1.600.500,27-03-2017,Alm. Salg,38.107,1,Lejlighed,42,1938,14 %,Aktuel værdi
"Ægirsgade 73, 1. TV2200 København N",vn N,3.995.000,27-03-2017,Alm. Salg,46.453,4,Lejlighed,86,1901,0 %,Aktuel værdi
"Heimdalsgade 42, 4. 452200 København N",vn N,1.325.000,27-03-2017,Alm. Salg,27.604,1,Lejlighed,48,1975,-5 %,Aktuel værdi
"Dagmarsgade 17, 1. 2062200 København N",vn N,930.000,27-03-2017,Fam. Salg,15.762,2,Lejlighed,59,1974,,Aktuel værdi
"Rådmandsgade 40C, 1. 882200 København N",vn N,620.500,26-03-2017,Fam. Salg,12.927,1,Lejlighed,48,1967,,Aktuel værdi
"Vævergade 5, 3. TH2200 København N",vn N,3.495.000,24-03-2017,Alm. Salg,48.541,3,Lejlighed,72,1881,0 %,Aktuel værdi
"Bjelkes Allé 4, 4. 82200 København N",vn N,2.050.000,24-03-2017,Alm. Salg,33.064,2,Lejlighed,62,1970,-7 %,Aktuel værdi
"Rantzausgade 52, 3. TV2200 København N",vn N,1.450.000,23-03-2017,Fam. Salg,32.222,2,Lejlighed,45,1889,,Aktuel værdi
"Åboulevard 34E, 3. TV2200 København N",vn N,1.945.000,22-03-2017,Alm. Salg,45.232,2,Lejlighed,43,1885,0 %,Aktuel værdi
"Gormsgade 8, 6. 562200 København N",vn N,2.203.751,21-03-2017,Alm. Salg,50.085,2,Lejlighed,44,1965,5 %,Aktuel værdi
"Farumgade 9, ST. TH2200 København N",vn N,619.353,21-03-2017,Andet,10.678,2,Lejlighed,58,1915,,Aktuel værdi
"Jagtvej 145, 3. 42200 København N",vn N,731.000,21-03-2017,Fam. Salg,15.229,1,Lejlighed,48,1978,,Aktuel værdi
"Heimdalsgade 14, 3. 22200 København N",vn N,3.495.000,21-03-2017,Alm. Salg,44.807,3,Lejlighed,78,1939,0 %,Aktuel værdi
"Blegdamsvej 8, 3. TH2200 København N",vn N,2.125.000,20-03-2017,Fam. Salg,20.432,4,Lejlighed,104,1868,,Aktuel værdi
"Hillerødgade 21A, 1. TV2200 København N",vn N,1.150.000,20-03-2017,Fam. Salg,20.535,2,Lejlighed,56,1935,,Aktuel værdi
"Ahlmannsgade 3, 2. TV2200 København N",vn N,2.950.000,20-03-2017,Alm. Salg,41.549,3,Lejlighed,71,1899,-2 %,Aktuel værdi
"Dagmarsgade 28, ST. 612200 København N",vn N,1.500.000,20-03-2017,Fam. Salg,25.423,2,Lejlighed,59,1974,,Aktuel værdi
"Nannasgade 27, 2. 22200 København N",vn N,1.998.000,19-03-2017,Alm. Salg,40.775,2,Lejlighed,49,1947,0 %,Aktuel værdi
"Sandbjerggade 50, 4. TV2200 København N",vn N,1.927.000,17-03-2017,Alm. Salg,37.057,2,Lejlighed,52,1935,2 %,Aktuel værdi
"Læssøesgade 21, 2. TH2200 København N",vn N,2.500.000,17-03-2017,Fam. Salg,45.454,2,Lejlighed,55,1868,,Aktuel værdi
"Husumgade 51, 1. TV2200 København N",vn N,1.552.500,17-03-2017,Alm. Salg,22.500,3,Lejlighed,69,1900,,Aktuel værdi
"Ægirsgade 21, 2. TH2200 København N",vn N,3.900.000,17-03-2017,Alm. Salg,44.827,4,Lejlighed,87,1903,-2 %,Aktuel værdi
"Baldersgade 18, 1. 42200 København N",vn N,1.975.000,16-03-2017,Alm. Salg,35.267,1,Lejlighed,56,1935,1 %,Aktuel værdi
"Rådmandsgade 40C, 6. 1482200 København N",vn N,1.350.000,16-03-2017,Alm. Salg,28.125,1,Lejlighed,48,1967,-7 %,Aktuel værdi
"P.D. Løvs Allé 9A, ST. TV2200 København N",vn N,2.120.000,15-03-2017,Alm. Salg,39.259,2,Lejlighed,54,1906,,Aktuel værdi
"Tagensvej 55, 1. TV2200 København N",vn N,1.450.000,14-03-2017,Fam. Salg,21.969,3,Lejlighed,66,1933,,Aktuel værdi
"Hamletsgade 28, 5. TH2200 København N",vn N,1.000.000,14-03-2017,Fam. Salg,18.181,2,Lejlighed,55,1938,,Aktuel værdi
"Søllerødgade 46, ST. TV2200 København N",vn N,1.750.000,14-03-2017,Alm. Salg,43.750,2,Lejlighed,40,1886,-1 %,Aktuel værdi
"Ahornsgade 4, 2. TV2200 København N",vn N,1.800.000,14-03-2017,Fam. Salg,22.500,2,Lejlighed,80,1900,,Aktuel værdi
"Esromgade 8, ST. TH2200 København N",vn N,800.000,14-03-2017,Fam. Salg,14.814,2,Lejlighed,54,1902,,Aktuel værdi
"Nørrebrogade 205, 3. TV2200 København N",vn N,2.700.002,13-03-2017,Alm. Salg,41.538,3,Lejlighed,65,1892,4 %,Aktuel værdi
"Dagmarsgade 34, 3. 242200 København N",vn N,1.200.000,13-03-2017,Alm. Salg,37.500,1,Lejlighed,32,1974,,Aktuel værdi
"Hamletsgade 8, 2. 852200 København N",vn N,900.000,12-03-2017,Alm. Salg,20.000,1,Lejlighed,45,1975,,Aktuel værdi
"Tagensvej 47, 5. 362200 København N",vn N,1.450.000,12-03-2017,Alm. Salg,33.720,1,Lejlighed,43,1966,-3 %,Aktuel værdi
"Husumgade 20, 1. TH2200 København N",vn N,2.495.000,12-03-2017,Alm. Salg,47.075,2,Lejlighed,53,1901,0 %,Aktuel værdi
"Guldbergsgade 25, 2. TH2200 København N",vn N,4.050.000,11-03-2017,Alm. Salg,45.000,4,Lejlighed,90,1895,-4 %,Aktuel værdi
"Hamletsgade 8, 1. 802200 København N",vn N,1.797.500,10-03-2017,Alm. Salg,27.653,2,Lejlighed,65,1975,0 %,Aktuel værdi
"Dagmarsgade 19, 4. 5172200 København N",vn N,1.000.000,09-03-2017,Alm. Salg,16.949,2,Lejlighed,59,1974,,Aktuel værdi
"Uffesgade 10, 1. TH2200 København N",vn N,2.200.000,09-03-2017,Alm. Salg,41.509,2,Lejlighed,53,1901,-4 %,Aktuel værdi
"Lundtoftegade 93, 2. TV2200 København N",vn N,2.895.000,09-03-2017,Alm. Salg,39.657,3,Lejlighed,73,1930,,Aktuel værdi
"Sandbjerggade 46, 3. TV2200 København N",vn N,2.050.000,09-03-2017,Alm. Salg,38.679,2,Lejlighed,53,1935,,Aktuel værdi
"Tagensvej 47, 1. 12200 København N",vn N,2.295.000,08-03-2017,Alm. Salg,31.875,3,Lejlighed,72,1966,0 %,Aktuel værdi
"Tagensvej 47, 3. 202200 København N",vn N,1.240.000,08-03-2017,Alm. Salg,28.837,1,Lejlighed,43,1966,-1 %,Aktuel værdi
"Jagtvej 141, 5. D2200 København N",vn N,1.598.000,08-03-2017,Alm. Salg,33.291,1,Lejlighed,48,1970,,Aktuel værdi
"Heimdalsgade 42, 3. 272200 København N",vn N,666.000,08-03-2017,Fam. Salg,13.591,1,Lejlighed,49,1975,,Aktuel værdi
"Vævergade 5, ST. TH2200 København N",vn N,2.100.000,08-03-2017,Fam. Salg,29.166,3,Lejlighed,72,1881,,Aktuel værdi
"Esromgade 10, 2. TV2200 København N",vn N,2.095.000,06-03-2017,Alm. Salg,36.754,2,Lejlighed,57,1902,0 %,Aktuel værdi
"Dagmarsgade 24, ST. 942200 København N",vn N,1.725.000,06-03-2017,Alm. Salg,34.500,2,Lejlighed,50,1974,2 %,Aktuel værdi
"Sigynsgade 50, 2. TH2200 København N",vn N,2.900.000,06-03-2017,Alm. Salg,31.521,3,Lejlighed,92,1991,-3 %,Aktuel værdi
"Sigynsgade 42, 2. TH2200 København N",vn N,1.900.000,03-03-2017,Alm. Salg,23.456,3,Lejlighed,81,1991,,Aktuel værdi
"Egegade 2, 3. TH2200 København N",vn N,3.950.000,03-03-2017,Alm. Salg,50.641,2,Lejlighed,78,1884,-1 %,Aktuel værdi
"Sigynsgade 52, ST. TV2200 København N",vn N,2.315.000,02-03-2017,Alm. Salg,28.580,3,Lejlighed,81,1991,-7 %,Aktuel værdi
"Hillerødgade 21A, 2. TV2200 København N",vn N,850.000,01-03-2017,Fam. Salg,15.178,2,Lejlighed,56,1935,,Aktuel værdi
"Esromgade 28, 3. TH2200 København N",vn N,1.435.000,01-03-2017,Fam. Salg,26.574,2,Lejlighed,54,1904,,Aktuel værdi
"Heinesgade 13, ST. TV2200 København N",vn N,1.450.000,01-03-2017,Fam. Salg,25.438,2,Lejlighed,57,1903,,Aktuel værdi
"Lundtoftegade 97, 1. TH2200 København N",vn N,1.420.000,28-02-2017,Alm. Salg,24.912,2,Lejlighed,57,1930,,Aktuel værdi
"Jagtvej 141, 4. D2200 København N",vn N,1.598.000,28-02-2017,Alm. Salg,29.592,1,Lejlighed,54,1970,0 %,Aktuel værdi
"Peter Fabers Gade 45, 1. TH2200 København N",vn N,1.610.000,26-02-2017,Fam. Salg,25.156,2,Lejlighed,64,1895,,Aktuel værdi
"Heimdalsgade 3, 2. TH2200 København N",vn N,1.105.000,26-02-2017,Fam. Salg,15.347,3,Lejlighed,72,1905,,Aktuel værdi
"Julius Bloms Gade 6, 5. 92200 København N",vn N,1.095.000,25-02-2017,Fam. Salg,23.297,1,Lejlighed,47,1908,,Aktuel værdi
"Møllegade 24, 5. TV2200 København N",vn N,2.272.000,23-02-2017,Alm. Salg,42.074,2,Lejlighed,54,1889,0 %,Aktuel værdi
"Åboulevard 50, 1. TH2200 København N",vn N,4.800.000,23-02-2017,Alm. Salg,22.325,7,Lejlighed,215,1899,-4 %,Aktuel værdi
"Sortedam Dossering 41A, 5. TV2200 København N",vn N,2.507.500,23-02-2017,Fam. Salg,22.590,7,Lejlighed,111,1963,,Aktuel værdi
"Rådmandsgade 40C, 6. 1432200 København N",vn N,1.300.000,23-02-2017,Alm. Salg,29.545,1,Lejlighed,44,1967,-7 %,Aktuel værdi
"Sigynsgade 58, 4. TV2200 København N",vn N,2.275.000,23-02-2017,Alm. Salg,34.469,2,Lejlighed,66,1991,-1 %,Aktuel værdi
"Blågårdsgade 26, 4. 292200 København N",vn N,2.795.000,22-02-2017,Alm. Salg,36.298,3,Lejlighed,77,1972,,Aktuel værdi
"Hamletsgade 4, 1. 1522200 København N",vn N,1.650.000,22-02-2017,Alm. Salg,25.384,2,Lejlighed,65,1975,-1 %,Aktuel værdi
"Dagmarsgade 30, ST. 432200 København N",vn N,1.760.000,22-02-2017,Alm. Salg,34.509,2,Lejlighed,51,1974,-2 %,Aktuel værdi
"Thyrasgade 4, 1. 2062200 København N",vn N,925.000,21-02-2017,Fam. Salg,15.416,2,Lejlighed,60,1974,,Aktuel værdi
"Hamletsgade 8, 4. 1362200 København N",vn N,1.850.000,20-02-2017,Alm. Salg,30.327,2,Lejlighed,61,1975,,Aktuel værdi
"Nordbanegade 22, 1. TH2200 København N",vn N,2.355.000,20-02-2017,Alm. Salg,48.061,2,Lejlighed,49,1898,-2 %,Aktuel værdi
"Tagensvej 47, 2. 122200 København N",vn N,1.470.000,19-02-2017,Alm. Salg,34.186,2,Lejlighed,43,1966,-2 %,Aktuel værdi
"Blågårdsgade 2, 3. TH2200 København N",vn N,4.900.000,19-02-2017,Alm. Salg,40.833,4,Lejlighed,120,1885,-2 %,Aktuel værdi
"Åboulevard 50, 4. TV2200 København N",vn N,6.000.000,19-02-2017,Alm. Salg,30.612,7,Lejlighed,196,1899,-5 %,Aktuel værdi
"Ahornsgade 1, 1. TH2200 København N",vn N,4.100.000,17-02-2017,Alm. Salg,53.246,3,Lejlighed,77,1888,,Aktuel værdi
"Julius Bloms Gade 5, 2. TH2200 København N",vn N,1.870.000,17-02-2017,Fam. Salg,27.101,2,Lejlighed,69,1905,,Aktuel værdi
"Birkegade 15, 3. TV2200 København N",vn N,2.850.000,16-02-2017,Alm. Salg,55.882,2,Lejlighed,51,1892,-2 %,Aktuel værdi
"Ole Jørgensens Gade 3, 2. TV2200 København N",vn N,2.125.000,16-02-2017,Alm. Salg,38.636,2,Lejlighed,55,1901,6 %,Aktuel værdi
"Sorgenfrigade 4, 2. TV2200 København N",vn N,1.400.000,16-02-2017,Fam. Salg,24.561,2,Lejlighed,57,1933,,Aktuel værdi
"Møllegade 20, 3. TH2200 København N",vn N,3.895.000,15-02-2017,Alm. Salg,47.500,3,Lejlighed,82,1889,0 %,Aktuel værdi
"Søllerødgade 32, ST. TV2200 København N",vn N,2.675.000,15-02-2017,Alm. Salg,36.148,3,Lejlighed,74,1932,7 %,Aktuel værdi
"Griffenfeldsgade 8, 1. TH2200 København N",vn N,2.210.000,13-02-2017,Fam. Salg,18.114,4,Lejlighed,122,1890,,Aktuel værdi
"Guldbergsgade 11, 4. TV2200 København N",vn N,3.995.000,13-02-2017,Alm. Salg,51.883,3,Lejlighed,77,1885,0 %,Aktuel værdi
"Meinungsgade 42, 2. TV2200 København N",vn N,2.300.000,13-02-2017,Alm. Salg,43.396,2,Lejlighed,53,1881,,Aktuel værdi
"Husumgade 10A, 12200 København N",vn N,800.000,13-02-2017,Fam. Salg,17.391,2,Lejlighed,46,1904,,Aktuel værdi
"Nørrebrogade 219, ST. TH2200 København N",vn N,1.855.000,09-02-2017,Alm. Salg,35.000,2,Lejlighed,53,1901,-2 %,Aktuel værdi
"Rådmandsgade 46A, ST. TV2200 København N",vn N,2.090.000,08-02-2017,Alm. Salg,32.153,3,Lejlighed,65,1933,-3 %,Aktuel værdi
"Sorgenfrigade 9, ST. TH2200 København N",vn N,2.350.000,07-02-2017,Alm. Salg,37.903,2,Lejlighed,62,1932,0 %,Aktuel værdi
"Vølundsgade 29, ST. TH2200 København N",vn N,2.765.000,07-02-2017,Alm. Salg,38.943,3,Lejlighed,71,1905,0 %,Aktuel værdi
"Bjelkes Allé 4, 4. 32200 København N",vn N,2.495.000,07-02-2017,Alm. Salg,40.901,2,Lejlighed,61,1970,0 %,Aktuel værdi
"Bjelkes Allé 12, 4. 52200 København N",vn N,2.300.000,06-02-2017,Alm. Salg,42.592,2,Lejlighed,54,1962,0 %,Aktuel værdi
"Hamletsgade 4, 2. 1722200 København N",vn N,1.645.000,06-02-2017,Alm. Salg,24.924,2,Lejlighed,66,1975,0 %,Aktuel værdi
"Hamletsgade 4, 4. 1962200 København N",vn N,1.525.000,06-02-2017,Alm. Salg,26.293,2,Lejlighed,58,1975,-4 %,Aktuel værdi
"Kronborggade 26, 4. TH2200 København N",vn N,3.995.000,04-02-2017,Alm. Salg,44.388,3,Lejlighed,90,1900,0 %,Aktuel værdi
"Ahornsgade 9, 22200 København N",vn N,1.742.500,03-02-2017,Fam. Salg,20.028,4,Lejlighed,87,1886,,Aktuel værdi
"Guldbergsgade 25, 2. TV2200 København N",vn N,1.827.500,03-02-2017,Fam. Salg,18.275,3,Lejlighed,100,1895,,Aktuel værdi
"Fælledvej 9, 3. TV2200 København N",vn N,6.500.000,02-02-2017,Alm. Salg,38.690,4,Lejlighed,168,1866,-1 %,Aktuel værdi
"Ågade 94, 1. TV2200 København N",vn N,3.075.000,02-02-2017,Alm. Salg,37.500,3,Lejlighed,82,1899,-4 %,Aktuel værdi
"Dagmarsgade 24, 2. 1082200 København N",vn N,1.815.000,01-02-2017,Alm. Salg,31.842,2,Lejlighed,57,1974,-4 %,Aktuel værdi
"Baldersgade 76, 3. TV2200 København N",vn N,2.640.000,01-02-2017,Fam. Salg,33.417,3,Lejlighed,79,1902,,Aktuel værdi
"Stefansgade 12, ST. TH2200 København N",vn N,1.695.000,01-02-2017,Alm. Salg,48.428,2,Lejlighed,35,1886,0 %,Aktuel værdi
"Dagmarsgade 28, 1. 682200 København N",vn N,1.795.000,31-01-2017,Alm. Salg,30.423,2,Lejlighed,59,1974,0 %,Aktuel værdi
"Peter Fabers Gade 30, 1. TH2200 København N",vn N,2.185.000,30-01-2017,Alm. Salg,45.520,1,Lejlighed,48,1896,0 %,Aktuel værdi
"Ægirsgade 73, 4. TH2200 København N",vn N,3.200.000,30-01-2017,Alm. Salg,40.506,3,Lejlighed,79,1901,0 %,Aktuel værdi
"Dagmarsgade 3, 3. TV2200 København N",vn N,3.195.000,30-01-2017,Alm. Salg,44.375,3,Lejlighed,72,1904,0 %,Aktuel værdi
"Laurids Skaus Gade 15, ST. TH2200 København N",vn N,3.850.000,29-01-2017,Alm. Salg,36.666,4,Lejlighed,105,1904,-1 %,Aktuel værdi
"Frejasgade 15, ST. TV2200 København N",vn N,2.055.000,29-01-2017,Alm. Salg,37.363,1,Lejlighed,55,1906,3 %,Aktuel værdi
"Fyensgade 7, 52200 København N",vn N,2.600.000,29-01-2017,Alm. Salg,48.148,2,Lejlighed,54,1899,-4 %,Aktuel værdi
"Lundtoftegade 101, 3. TV2200 København N",vn N,2.150.000,27-01-2017,Alm. Salg,37.719,2,Lejlighed,57,1930,,Aktuel værdi
"Sorgenfrigade 8, 4. TV2200 København N",vn N,2.799.000,26-01-2017,Alm. Salg,45.145,2,Lejlighed,62,1933,,Aktuel værdi
"Farumgade 11, 2. TH2200 København N",vn N,2.095.000,26-01-2017,Alm. Salg,38.090,2,Lejlighed,55,1915,-5 %,Aktuel værdi
"Ægirsgade 66, 3. TH2200 København N",vn N,1.000.000,25-01-2017,Alm. Salg,17.241,2,Lejlighed,58,1902,,Aktuel værdi
"Husumgade 18, 3. TV2200 København N",vn N,2.939.000,25-01-2017,Alm. Salg,41.985,3,Lejlighed,70,1901,0 %,Aktuel værdi
"Blågårdsgade 16B, 1. TV2200 København N",vn N,1.232.500,25-01-2017,Fam. Salg,17.118,3,Lejlighed,72,1990,,Aktuel værdi
"Hamletsgade 20, 4. MF2200 København N",vn N,1.895.000,23-01-2017,Alm. Salg,37.900,2,Lejlighed,50,1949,0 %,Aktuel værdi
"Dagmarsgade 19, 4. 5182200 København N",vn N,1.998.000,22-01-2017,Alm. Salg,33.864,2,Lejlighed,59,1974,0 %,Aktuel værdi
"Nordbanegade 20, 3. TH2200 København N",vn N,1.998.000,21-01-2017,Alm. Salg,42.510,2,Lejlighed,47,1898,0 %,Aktuel værdi
